ID,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,url,track_href,analysis_url,duration_ms,time_signature,artist_name,track_name,track_id,track_popularity,artist_id
161,0.747,0.629,9,-8.509,0,0.0363,0.328,0.00409,0.154,0.793,127.819,audio_features,3RA55zrRkyPK8Fd86hrMy8,,https://api.spotify.com/v1/tracks/3RA55zrRkyPK8Fd86hrMy8,https://api.spotify.com/v1/audio-analysis/3RA55zrRkyPK8Fd86hrMy8,163552,3,Peso Pluma,LUNA,3RA55zrRkyPK8Fd86hrMy8,85,12GqGscKJx3aE4t07u7eVZ
162,0.369,0.272,9,-10.497,1,0.0364,0.866,0,0.147,0.218,172.929,audio_features,5JCoSi02qi3jJeHdZXMmR8,,https://api.spotify.com/v1/tracks/5JCoSi02qi3jJeHdZXMmR8,https://api.spotify.com/v1/audio-analysis/5JCoSi02qi3jJeHdZXMmR8,152667,4,Olivia Rodrigo,favorite crime,5JCoSi02qi3jJeHdZXMmR8,85,1McMsnEElThX1knmY4oliG
163,0.346,0.501,2,-6.939,1,0.0364,0.421,0,0.0657,0.299,99.855,audio_features,4x5YzxjrF9wvIIXJV7TveC,,https://api.spotify.com/v1/tracks/4x5YzxjrF9wvIIXJV7TveC,https://api.spotify.com/v1/audio-analysis/4x5YzxjrF9wvIIXJV7TveC,222927,4,Ashe,Till Forever Falls Apart,4x5YzxjrF9wvIIXJV7TveC,79,6P5NO5hzJbuOqSdyPB7SJM
164,0.334,0.599,0,-5.742,1,0.0365,0.0468,0.000392,0.205,0.127,161.74,audio_features,32BeYxKPrig1LefHsC0Xuo,,https://api.spotify.com/v1/tracks/32BeYxKPrig1LefHsC0Xuo,https://api.spotify.com/v1/audio-analysis/32BeYxKPrig1LefHsC0Xuo,151444,3,Billie Eilish,Happier Than Ever - Edit,32BeYxKPrig1LefHsC0Xuo,79,6qqNVTkY8uBg9cP3Jd7DAH
165,0.662,0.77,0,-4.887,1,0.0367,0.0875,0,0.35,0.769,132.057,audio_features,103u49mLoJUge83B1CnLxI,,https://api.spotify.com/v1/tracks/103u49mLoJUge83B1CnLxI,https://api.spotify.com/v1/audio-analysis/103u49mLoJUge83B1CnLxI,167535,4,HARDY,TRUCK BED,103u49mLoJUge83B1CnLxI,80,5QNm7E7RU2m64l6Gliu8Oy
166,0.299,0.142,2,-15.134,1,0.0369,0.965,0.113,0.111,0.123,76.748,audio_features,709p9UGPAuyImWf1Z3vjRo,,https://api.spotify.com/v1/tracks/709p9UGPAuyImWf1Z3vjRo,https://api.spotify.com/v1/audio-analysis/709p9UGPAuyImWf1Z3vjRo,269067,4,Laufey,Let You Break My Heart Again,709p9UGPAuyImWf1Z3vjRo,80,7gW0r5CkdEUMm42w9XpyZO
167,0.699,0.621,0,-8.739,1,0.0369,0.198,0,0.104,0.344,118.048,audio_features,6T0sEnqjmHISIKwFETeeiP,,https://api.spotify.com/v1/tracks/6T0sEnqjmHISIKwFETeeiP,https://api.spotify.com/v1/audio-analysis/6T0sEnqjmHISIKwFETeeiP,171819,4,Taylor Swift,Suburban Legends (Taylor's Version) (From The Vault),6T0sEnqjmHISIKwFETeeiP,86,06HL4z0CvFAxyc27GXpf02
168,0.595,0.656,0,-7.343,1,0.037,0.041,0,0.122,0.191,99.994,audio_features,6IG3sQ8s9nfk6TUlVzRhbN,,https://api.spotify.com/v1/tracks/6IG3sQ8s9nfk6TUlVzRhbN,https://api.spotify.com/v1/audio-analysis/6IG3sQ8s9nfk6TUlVzRhbN,229478,4,Taylor Swift,Is It Over Now? (Taylor's Version) (From The Vault),6IG3sQ8s9nfk6TUlVzRhbN,86,06HL4z0CvFAxyc27GXpf02
169,0.405,0.565,1,-9.266,0,0.0372,0.38,0.0195,0.107,0.166,159.892,audio_features,6G2xXQRSZlEzYsUEb3uvuR,,https://api.spotify.com/v1/tracks/6G2xXQRSZlEzYsUEb3uvuR,https://api.spotify.com/v1/audio-analysis/6G2xXQRSZlEzYsUEb3uvuR,214149,3,Ivan Cornejo,Estì°?Daì±°ada,6G2xXQRSZlEzYsUEb3uvuR,76,6PH3FLQAxtqYy46Zv08bpV
170,0.461,0.279,9,-11.776,0,0.0373,0.911,0,0.205,0.599,114.225,audio_features,2CSRrnOEELmhpq8iaAi9cd,,https://api.spotify.com/v1/tracks/2CSRrnOEELmhpq8iaAi9cd,https://api.spotify.com/v1/audio-analysis/2CSRrnOEELmhpq8iaAi9cd,150720,4,SZA,Blind,2CSRrnOEELmhpq8iaAi9cd,80,7tYKF4w9nC0nq9CsPZTHyP
